,created_date,job_title,company,salary,address,time,link_description,min_salary,max_salary,salary_unit,position,level,city,district
1142,2023-08-01,IT Comtor Internship,Công ty TNHH Mumesoft Innovation,Thoả thuận,Hà Nội: Nam Từ Liêm,Còn 10 ngà y để ứng tuyển,https://www.topcv.vn/viec-lam/it-comtor-internship/969457.html?ta_source=JobSearchList_LinkDetail,negotiate,negotiate,negotiate,OTHER,INTERN,Hà Nội, Nam Từ Liêm
1143,2023-08-01,Senior Python Developer,CÔNG TY TNHH KỸ SƯ CÔNG NGHỆ CAO VN,20 - 40 triệu,Hà Nội: Nam Từ Liêm,Còn 19 ngà y để ứng tuyển,https://www.topcv.vn/viec-lam/senior-python-developer/1038056.html?ta_source=JobSearchList_LinkDetail,20,40,million VND,SOFTWARE_ENGINEER,SENIOR,Hà Nội, Nam Từ Liêm
1144,2023-08-01,Nhân Viên IT,Chi nhánh công ty TNHH Hanoi Steel Center tại TP Đà Nẵng,Thoả thuận,Đà Nẵng: Liên Chiểu,Còn 10 ngà y để ứng tuyển,https://www.topcv.vn/viec-lam/nhan-vien-it/1067107.html?ta_source=JobSearchList_LinkDetail,negotiate,negotiate,negotiate,OTHER,UNKNOWN,Đà Nẵng, Liên Chiểu
1145,2023-08-01,Game Designer,Công ty TNHH Dmobin,Tới 23 triệu,Hà Nội: Nam Từ Liêm,Còn 14 ngà y để ứng tuyển,https://www.topcv.vn/viec-lam/game-designer/562641.html?ta_source=JobSearchList_LinkDetail,,23,million VND,UI_UX_DESIGNER,UNKNOWN,Hà Nội, Nam Từ Liêm
1146,2023-08-01,System Manager (Tphcm),Công ty Cổ phần viễn thông FPT,30 - 60 triệu,Hồ Chí Minh: Quận 7,Còn 17 ngà y để ứng tuyển,https://www.topcv.vn/viec-lam/system-manager-tphcm/1066651.html?ta_source=JobSearchList_LinkDetail,30,60,million VND,OTHER,MANAGER,Hồ Chí Minh, Quận 7
1147,2023-08-01,Technical Leader (Golang/Nodejs/Java - Upto 55M),Công ty CP công nghệ và truyền thông SAMO,Tới 55 triệu,Hà Nội: Thanh Xuân,Còn 10 ngà y để ứng tuyển,https://www.topcv.vn/viec-lam/technical-leader-golang-nodejs-java-upto-55m/1066857.html?ta_source=JobSearchList_LinkDetail,,55,million VND,SOFTWARE_ENGINEER,LEAD,Hà Nội, Thanh Xuân
1148,2023-08-01,IT Business Analyst (8-15M),BSS Group,8 - 15 triệu,Hà Nội: Nam Từ Liêm,Còn 40 ngà y để ứng tuyển,https://www.topcv.vn/viec-lam/it-business-analyst-8-15m/1066963.html?ta_source=JobSearchList_LinkDetail,8,15,million VND,BUSINESS_ANALYST,UNKNOWN,Hà Nội, Nam Từ Liêm
1149,2023-08-01,Experienced JavaScript Developer,BSS Group,"Tá»›i 30,000,000 USD",Hà Nội: Nam Từ Liêm,Còn 45 ngà y để ứng tuyển,https://www.topcv.vn/viec-lam/experienced-javascript-developer/1066974.html?ta_source=JobSearchList_LinkDetail,,"30,000,000",USD,SOFTWARE_ENGINEER,UNKNOWN,Hà Nội, Nam Từ Liêm
1150,2023-08-01,Thực Tập Sinh Tester,Uway Technology,Trên 2.5 triệu,Hồ Chí Minh: Bình Thạnh,Còn 17 ngà y để ứng tuyển,https://www.topcv.vn/viec-lam/thuc-tap-sinh-tester/1070240.html?ta_source=JobSearchList_LinkDetail,2,5,million VND,QA_TESTER,INTERN,Hồ Chí Minh, Bình Thạnh
1151,2023-08-01,IT Support,Công ty Cổ phần Giáo dục Bảo An,9 - 12 triệu,Hà Nội: Đống Đa,Còn 16 ngà y để ứng tuyển,https://www.topcv.vn/viec-lam/it-support/1070384.html?ta_source=JobSearchList_LinkDetail,9,12,million VND,IT_SUPPORT,UNKNOWN,Hà Nội, Đống Đa
1152,2023-08-01,Java Developer (Domain Banking - Product),Công ty TNHH Hệ thống Thông Tin FPT,Tới 23 triệu,Hà Nội: Nam Từ Liêm,Còn 30 ngà y để ứng tuyển,https://www.topcv.vn/viec-lam/java-developer-domain-banking-product/1070302.html?ta_source=JobSearchList_LinkDetail,,23,million VND,SOFTWARE_ENGINEER,UNKNOWN,Hà Nội, Nam Từ Liêm
1153,2023-08-01,Lập Trình Viên .Net - 01 Năm Kinh Nghiệm,Công ty Cổ phần Công nghệ Tà i chính DCV,13 - 20 triệu,Hà Nội: Cầu Giấy,Còn 15 ngà y để ứng tuyển,https://www.topcv.vn/viec-lam/lap-trinh-vien-net-01-nam-kinh-nghiem/1013406.html?ta_source=JobSearchList_LinkDetail,13,20,million VND,SOFTWARE_ENGINEER,JUNIOR,Hà Nội, Cầu Giấy
1154,2023-08-01,Lập Trình Viên Phần Mềm,CÔNG TY CỔ PHẦN PHÂN PHỐI QUỐC TẾ,15 - 25 triệu,Hồ Chí Minh: Quận 11,Còn 15 ngà y để ứng tuyển,https://www.topcv.vn/viec-lam/lap-trinh-vien-phan-mem/1070030.html?ta_source=JobSearchList_LinkDetail,15,25,million VND,SOFTWARE_ENGINEER,UNKNOWN,Hồ Chí Minh, Quận 11
1155,2023-08-01,Software/ Web Developer Full-Time (Experience Required),CÔNG TY TNHH MALO,Thoả thuận,Hồ Chí Minh: Quận 1,Còn 15 ngà y để ứng tuyển,https://www.topcv.vn/viec-lam/software-web-developer-full-time-experience-required/1068615.html?ta_source=JobSearchList_LinkDetail,negotiate,negotiate,negotiate,SOFTWARE_ENGINEER,UNKNOWN,Hồ Chí Minh, Quận 1
1156,2023-08-01,Senior Fullstack Developer (Nodejs/PHP),CÔNG TY CỔ PHẦN CÔNG NGHỆ FINVIET,Tới 35 triệu,Hồ Chí Minh: Tân Bình,Còn 16 ngà y để ứng tuyển,https://www.topcv.vn/viec-lam/senior-fullstack-developer-nodejs-php/1070264.html?ta_source=JobSearchList_LinkDetail,,35,million VND,SOFTWARE_ENGINEER,SENIOR,Hồ Chí Minh, Tân Bình
1157,2023-08-01,Nhân Viên Business Analyst,Công ty TNHH Avada Group (Mageplaza),10 - 15 triệu,Hà Nội: Hà Đông,Còn 15 ngà y để ứng tuyển,https://www.topcv.vn/viec-lam/nhan-vien-business-analyst/1043422.html?ta_source=JobSearchList_LinkDetail,10,15,million VND,BUSINESS_ANALYST,UNKNOWN,Hà Nội, Hà Đông
